CATÉGORIE,AGGLOMÉRATION DE MONTRÉAL,Montréal,Ahuntsic-Cartierville,Anjou,Côte-des-Neiges-Notre-Dame-de-Grâce,Lachine,LaSalle,Plateau-Mont-Royal,Sud-Ouest,LÎle-Bizard-Sainte-Geneviève,Mercier-Hochelaga-Maisonneuve,Montréal-Nord,Outremont,Pierrefonds-Roxboro,Rivière-des-Prairies-Pointe-aux-Trembles,Rosemont-La Petite-Patrie,Saint-Laurent,Saint-Léonard,Verdun,Ville-Marie,Villeray-Saint-Michel-Parc-Extension,"Baie-DUrfé","Beaconsfield","Côte-Saint-Luc","Dollard-Des-Ormeaux","Dorval","Hampstead","Kirkland","Montréal-Est","Montréal-Ouest","Mont-Royal","Pointe-Claire","Sainte-Anne-de-Bellevue","Senneville","Westmount"
Population totale selon le groupe dâges,"2,004,265","1,762,950","135,335","43,250","170,580","46,430","82,235","105,810","84,550","18,880","140,630","88,470","24,635","70,390","107,935","141,815","102,100","79,490","70,375","104,945","145,090","3,765","19,275","34,505","48,400","19,300","7,040","19,410","4,395","5,115","20,950","33,490","5,025",950,"19,655"
0 à 14 ans,"309,765","270,430","22,735","7,735","25,730","7,615","12,935","11,620","10,805","3,060","20,270","16,895","5,720","12,310","17,435","19,480","19,725","15,330","9,765","7,565","23,700",505,"3,470","6,030","7,885","2,655","1,395","3,065",710,960,"4,260","4,880",545,125,"2,840"
0 à 4 ans,"99,195","88,665","7,530","2,225","7,965","2,320","4,160","4,120","3,965",815,"7,030","6,045","1,670","3,520","5,000","6,690","5,985","4,855","3,365","3,170","8,225",120,840,"1,875","2,245",760,420,725,235,260,935,"1,290",175,35,630
5 à 9 ans,"106,980","93,330","7,835","2,735","8,895","2,660","4,540","4,005","3,535","1,075","6,925","5,680","2,045","4,235","6,010","6,780","7,065","5,415","3,375","2,365","8,145",180,"1,255","2,085","2,675",905,440,"1,055",255,340,"1,545","1,725",170,45,970
10 à 14 ans,"103,590","88,435","7,375","2,770","8,870","2,630","4,235","3,495","3,300","1,170","6,320","5,175","2,000","4,550","6,430","6,010","6,670","5,055","3,025","2,030","7,335",210,"1,380","2,075","2,970",985,530,"1,290",220,355,"1,780","1,870",205,50,"1,240"
15 à 64 ans,"1,343,175","1,197,040","86,815","25,730","118,035","30,260","52,635","81,870","62,580","12,165","97,040","54,640","14,075","46,195","69,515","99,765","65,430","47,580","48,145","83,040","101,540","2,270","12,040","18,560","30,240","12,600","4,425","12,500","3,010","3,215","12,765","19,295","3,365",585,"11,245"
15 à 19 ans,"97,525","82,480","6,490","2,160","9,225","2,245","4,115","4,100","3,230","1,175","5,315","4,595","1,780","4,685","5,850","5,025","6,065","4,000","2,380","3,535","6,510",295,"1,450","1,845","3,040",940,530,"1,355",170,370,"1,560","1,875",285,80,"1,235"
20 à 24 ans,"140,025","125,230","7,930","2,215","16,360","2,650","5,330","11,985","5,555","1,130","8,470","5,245","1,665","4,555","6,080","7,925","6,540","4,330","3,330","13,335","10,600",260,"1,250","1,850","3,205","1,120",525,"1,355",260,300,"1,230","1,685",450,75,"1,230"
25 à 29 ans,"165,525","153,990","9,150","2,190","15,660","3,020","5,735","14,885","10,275",870,"12,920","5,435","1,405","3,915","6,080","14,175","6,150","4,315","6,425","16,955","14,440",145,635,"1,630","2,630","1,260",355,795,350,210,810,"1,400",400,25,895
30 à 34 ans,"157,720","146,850","9,545","2,225","13,235","3,190","5,495","12,520","10,535",925,"13,485","5,625","1,190","3,700","5,970","14,560","6,530","4,330","6,890","13,455","13,470",100,555,"1,775","2,485","1,150",345,590,370,225,780,"1,435",295,25,740
35 à 39 ans,"149,265","135,880","9,875","2,680","12,735","3,245","5,490","9,460","8,040","1,005","12,075","5,845","1,240","4,320","6,405","13,210","7,400","5,040","6,585","9,165","12,070",135,"1,010","2,035","2,780","1,240",380,955,310,295,"1,235","1,775",255,40,935
40 à 44 ans,"142,365","127,165","9,865","3,030","12,055","3,380","5,505","8,010","6,140","1,290","10,800","6,010","1,540","4,650","7,180","12,170","7,355","5,235","5,410","6,410","11,130",200,"1,280","2,190","3,010","1,220",435,"1,230",320,340,"1,570","2,070",230,55,"1,065"
45 à 49 ans,"125,510","110,135","8,875","2,855","10,615","3,020","5,205","6,040","4,765","1,255","8,465","5,455","1,565","4,705","7,150","8,980","7,175","5,445","4,335","5,020","9,205",220,"1,390","1,915","3,040","1,300",460,"1,295",275,355,"1,600","2,000",260,50,"1,210"
50 à 54 ans,"121,715","105,550","8,505","2,800","9,955","3,040","5,240","5,115","4,490","1,420","8,035","5,645","1,275","5,210","7,555","7,690","6,810","5,535","4,090","4,860","8,285",325,"1,550","1,850","3,215","1,310",475,"1,495",290,375,"1,450","2,130",385,90,"1,230"
55 à 59 ans,"125,465","108,040","8,550","2,840","9,525","3,330","5,435","5,065","4,805","1,615","8,885","5,560","1,285","5,480","8,595","8,105","6,060","4,970","4,290","5,370","8,280",335,"1,580","1,705","3,515","1,550",465,"1,800",315,395,"1,400","2,500",435,75,"1,360"
60 à 64 ans,"118,065","101,725","8,030","2,750","8,685","3,140","5,095","4,690","4,745","1,475","8,595","5,225","1,130","4,965","8,645","7,930","5,340","4,380","4,420","4,935","7,550",265,"1,340","1,765","3,325","1,510",450,"1,630",350,355,"1,140","2,425",370,65,"1,340"
65 ans et plus,"351,325","295,480","25,785","9,780","26,810","8,560","16,670","12,325","11,165","3,660","23,320","16,935","4,840","11,885","20,990","22,570","16,950","16,580","12,465","14,340","19,850",980,"3,770","9,910","10,275","4,050","1,215","3,845",680,940,"3,925","9,310","1,115",230,"5,575"
